FieldID,auxin,gibberellin,cytokinin,ethylene,abscisicAcid,nitrogen,phosphorus,magnesium,sulfur,silicon,plantGrowth
152448,AuxinAN,gibberellinNA,cytokininLow,ethyleneLow,abscisicAcidAN,NitrogenAN,phosphorusLow,magnesiumLow,sulfurMN,siliconMN,HighGrowth
174552,AuxinNA,gibberellinAN,cytokininLow,ethyleneAN,abscisicAcidLow,NitrogenLow,phosphorusLow,magnesiumAN,sulfurLow,siliconAN,LowGrowth
138441,AuxinAN,gibberellinLow,cytokininLow,ethyleneNA,abscisicAcidNA,NitrogenAN,phosphorusAN,magnesiumAN,sulfurAN,siliconAN,MediumGrowth
187450,AuxinLow,gibberellinAN,cytokininAN,ethyleneLow,abscisicAcidLow,NitrogenLow,phosphorusMN,magnesiumLow,sulfurMN,siliconMN,HighGrowth
183723,AuxinLow,gibberellinLow,cytokininAN,ethyleneLow,abscisicAcidNA,NitrogenMN,phosphorusLow,magnesiumLow,sulfurLow,siliconLow,LowGrowth
186113,AuxinNA,gibberellinNA,cytokininNA,ethyleneNA,abscisicAcidLow,NitrogenMN,phosphorusAN,magnesiumAN,sulfurMN,siliconMN,MediumGrowth
128823,AuxinNA,gibberellinAN,cytokininLow,ethyleneNA,abscisicAcidNA,NitrogenMN,phosphorusLow,magnesiumLow,sulfurLow,siliconMN,LowGrowth
213744,AuxinAN,gibberellinNA,cytokininAN,ethyleneAN,abscisicAcidAN,NitrogenAN,phosphorusAN,magnesiumLow,sulfurMN,siliconLow,HighGrowth
119791,AuxinLow,gibberellinLow,cytokininLow,ethyleneNA,abscisicAcidAN,NitrogenMN,phosphorusAN,magnesiumLow,sulfurAN,siliconMN,HighGrowth
188397,AuxinAN,gibberellinLow,cytokininAN,ethyleneNA,abscisicAcidLow,NitrogenLow,phosphorusAN,magnesiumMN,sulfurLow,siliconAN,MediumGrowth
156221,AuxinLow,gibberellinAN,cytokininLow,ethyleneLow,abscisicAcidLow,NitrogenLow,phosphorusLow,magnesiumLow,sulfurMN,siliconMN,MediumGrowth
171937,AuxinLow,gibberellinAN,cytokininAN,ethyleneLow,abscisicAcidAN,NitrogenLow,phosphorusAN,magnesiumLow,sulfurAN,siliconMN,HighGrowth
121580,AuxinLow,gibberellinAN,cytokininLow,ethyleneAN,abscisicAcidAN,NitrogenMN,phosphorusAN,magnesiumAN,sulfurMN,siliconLow,HighGrowth
137155,AuxinNA,gibberellinNA,cytokininAN,ethyleneAN,abscisicAcidNA,NitrogenLow,phosphorusLow,magnesiumMN,sulfurLow,siliconAN,LowGrowth
202837,AuxinNA,gibberellinLow,cytokininLow,ethyleneNA,abscisicAcidLow,NitrogenMN,phosphorusAN,magnesiumAN,sulfurAN,siliconLow,LowGrowth
195712,AuxinAN,gibberellinLow,cytokininLow,ethyleneLow,abscisicAcidAN,NitrogenLow,phosphorusAN,magnesiumLow,sulfurLow,siliconAN,MediumGrowth
182230,AuxinLow,gibberellinNA,cytokininNA,ethyleneAN,abscisicAcidNA,NitrogenMN,phosphorusLow,magnesiumMN,sulfurAN,siliconAN,MediumGrowth
133142,AuxinAN,gibberellinLow,cytokininNA,ethyleneNA,abscisicAcidAN,NitrogenAN,phosphorusAN,magnesiumLow,sulfurAN,siliconAN,MediumGrowth
196223,AuxinNA,gibberellinNA,cytokininAN,ethyleneLow,abscisicAcidNA,NitrogenLow,phosphorusMN,magnesiumAN,sulfurAN,siliconMN,MediumGrowth
192343,AuxinAN,gibberellinNA,cytokininAN,ethyleneLow,abscisicAcidAN,NitrogenAN,phosphorusLow,magnesiumLow,sulfurAN,siliconMN,HighGrowth
128475,AuxinLow,gibberellinNA,cytokininNA,ethyleneAN,abscisicAcidAN,NitrogenAN,phosphorusLow,magnesiumMN,sulfurAN,siliconMN,HighGrowth
173814,AuxinNA,gibberellinLow,cytokininNA,ethyleneLow,abscisicAcidLow,NitrogenAN,phosphorusLow,magnesiumMN,sulfurLow,siliconAN,LowGrowth
141460,AuxinNA,gibberellinLow,cytokininNA,ethyleneLow,abscisicAcidAN,NitrogenAN,phosphorusLow,magnesiumMN,sulfurLow,siliconAN,LowGrowth
177880,AuxinNA,gibberellinNA,cytokininNA,ethyleneLow,abscisicAcidAN,NitrogenLow,phosphorusMN,magnesiumLow,sulfurAN,siliconLow,LowGrowth
159506,AuxinNA,gibberellinAN,cytokininLow,ethyleneLow,abscisicAcidNA,NitrogenLow,phosphorusAN,magnesiumAN,sulfurLow,siliconMN,LowGrowth
170882,AuxinNA,gibberellinLow,cytokininLow,ethyleneNA,abscisicAcidAN,NitrogenMN,phosphorusAN,magnesiumLow,sulfurAN,siliconLow,LowGrowth
188961,AuxinLow,gibberellinNA,cytokininNA,ethyleneAN,abscisicAcidAN,NitrogenAN,phosphorusAN,magnesiumAN,sulfurAN,siliconMN,HighGrowth
119053,AuxinAN,gibberellinLow,cytokininNA,ethyleneAN,abscisicAcidLow,NitrogenMN,phosphorusMN,magnesiumMN,sulfurMN,siliconMN,HighGrowth
183138,AuxinAN,gibberellinLow,cytokininLow,ethyleneAN,abscisicAcidAN,NitrogenAN,phosphorusMN,magnesiumLow,sulfurAN,siliconLow,HighGrowth
199222,AuxinLow,gibberellinAN,cytokininLow,ethyleneNA,abscisicAcidNA,NitrogenLow,phosphorusAN,magnesiumMN,sulfurLow,siliconLow,LowGrowth
161339,AuxinAN,gibberellinNA,cytokininLow,ethyleneAN,abscisicAcidNA,NitrogenAN,phosphorusMN,magnesiumLow,sulfurAN,siliconLow,MediumGrowth
166887,AuxinNA,gibberellinAN,cytokininNA,ethyleneAN,abscisicAcidAN,NitrogenLow,phosphorusMN,magnesiumAN,sulfurMN,siliconLow,HighGrowth
208155,AuxinNA,gibberellinNA,cytokininAN,ethyleneLow,abscisicAcidLow,NitrogenMN,phosphorusMN,magnesiumAN,sulfurAN,siliconLow,MediumGrowth
205191,AuxinAN,gibberellinLow,cytokininLow,ethyleneNA,abscisicAcidLow,NitrogenMN,phosphorusLow,magnesiumMN,sulfurAN,siliconAN,HighGrowth
163596,AuxinLow,gibberellinAN,cytokininAN,ethyleneAN,abscisicAcidAN,NitrogenMN,phosphorusAN,magnesiumMN,sulfurLow,siliconLow,HighGrowth
197886,AuxinNA,gibberellinAN,cytokininAN,ethyleneLow,abscisicAcidAN,NitrogenLow,phosphorusAN,magnesiumLow,sulfurLow,siliconAN,MediumGrowth
153227,AuxinNA,gibberellinAN,cytokininLow,ethyleneLow,abscisicAcidAN,NitrogenLow,phosphorusMN,magnesiumLow,sulfurAN,siliconLow,MediumGrowth
122861,AuxinLow,gibberellinAN,cytokininAN,ethyleneNA,abscisicAcidNA,NitrogenMN,phosphorusLow,magnesiumLow,sulfurAN,siliconAN,MediumGrowth
128291,AuxinLow,gibberellinNA,cytokininNA,ethyleneNA,abscisicAcidLow,NitrogenMN,phosphorusLow,magnesiumMN,sulfurMN,siliconMN,MediumGrowth
174502,AuxinNA,gibberellinNA,cytokininAN,ethyleneAN,abscisicAcidNA,NitrogenMN,phosphorusAN,magnesiumMN,sulfurLow,siliconAN,MediumGrowth
209351,AuxinAN,gibberellinLow,cytokininNA,ethyleneNA,abscisicAcidNA,NitrogenAN,phosphorusLow,magnesiumAN,sulfurAN,siliconLow,LowGrowth
157892,AuxinLow,gibberellinAN,cytokininAN,ethyleneAN,abscisicAcidAN,NitrogenMN,phosphorusAN,magnesiumAN,sulfurLow,siliconMN,HighGrowth
183478,AuxinNA,gibberellinNA,cytokininAN,ethyleneAN,abscisicAcidNA,NitrogenLow,phosphorusMN,magnesiumLow,sulfurAN,siliconLow,LowGrowth
132997,AuxinAN,gibberellinLow,cytokininLow,ethyleneLow,abscisicAcidLow,NitrogenLow,phosphorusMN,magnesiumLow,sulfurMN,siliconMN,HighGrowth
173276,AuxinNA,gibberellinNA,cytokininNA,ethyleneLow,abscisicAcidNA,NitrogenLow,phosphorusMN,magnesiumLow,sulfurMN,siliconLow,LowGrowth
172145,AuxinAN,gibberellinNA,cytokininNA,ethyleneLow,abscisicAcidAN,NitrogenMN,phosphorusMN,magnesiumLow,sulfurMN,siliconLow,HighGrowth
130189,AuxinLow,gibberellinNA,cytokininNA,ethyleneAN,abscisicAcidLow,NitrogenLow,phosphorusMN,magnesiumMN,sulfurMN,siliconMN,HighGrowth
148397,AuxinLow,gibberellinAN,cytokininNA,ethyleneLow,abscisicAcidLow,NitrogenAN,phosphorusMN,magnesiumMN,sulfurLow,siliconAN,HighGrowth
140372,AuxinNA,gibberellinNA,cytokininNA,ethyleneAN,abscisicAcidLow,NitrogenAN,phosphorusLow,magnesiumMN,sulfurMN,siliconLow,LowGrowth
172549,AuxinNA,gibberellinLow,cytokininNA,ethyleneAN,abscisicAcidLow,NitrogenLow,phosphorusMN,magnesiumMN,sulfurMN,siliconMN,HighGrowth
137774,AuxinNA,gibberellinAN,cytokininAN,ethyleneAN,abscisicAcidNA,NitrogenAN,phosphorusLow,magnesiumLow,sulfurAN,siliconMN,MediumGrowth
113743,AuxinLow,gibberellinNA,cytokininNA,ethyleneLow,abscisicAcidAN,NitrogenMN,phosphorusAN,magnesiumLow,sulfurMN,siliconMN,HighGrowth
200775,AuxinAN,gibberellinNA,cytokininNA,ethyleneLow,abscisicAcidNA,NitrogenLow,phosphorusAN,magnesiumLow,sulfurAN,siliconLow,LowGrowth
202980,AuxinNA,gibberellinAN,cytokininNA,ethyleneLow,abscisicAcidAN,NitrogenLow,phosphorusAN,magnesiumLow,sulfurAN,siliconAN,LowGrowth
163360,AuxinNA,gibberellinAN,cytokininAN,ethyleneLow,abscisicAcidNA,NitrogenLow,phosphorusMN,magnesiumLow,sulfurMN,siliconLow,MediumGrowth
167990,AuxinNA,gibberellinNA,cytokininLow,ethyleneAN,abscisicAcidNA,NitrogenLow,phosphorusLow,magnesiumMN,sulfurLow,siliconAN,LowGrowth
140472,AuxinNA,gibberellinNA,cytokininLow,ethyleneNA,abscisicAcidLow,NitrogenLow,phosphorusLow,magnesiumLow,sulfurMN,siliconMN,LowGrowth
190430,AuxinLow,gibberellinLow,cytokininAN,ethyleneAN,abscisicAcidAN,NitrogenMN,phosphorusLow,magnesiumAN,sulfurAN,siliconAN,HighGrowth
146862,AuxinLow,gibberellinNA,cytokininNA,ethyleneLow,abscisicAcidNA,NitrogenAN,phosphorusAN,magnesiumAN,sulfurAN,siliconMN,LowGrowth
149124,AuxinLow,gibberellinLow,cytokininAN,ethyleneNA,abscisicAcidLow,NitrogenLow,phosphorusLow,magnesiumMN,sulfurAN,siliconAN,MediumGrowth
194704,AuxinLow,gibberellinNA,cytokininAN,ethyleneLow,abscisicAcidLow,NitrogenLow,phosphorusLow,magnesiumAN,sulfurMN,siliconLow,LowGrowth
209290,AuxinAN,gibberellinNA,cytokininAN,ethyleneNA,abscisicAcidNA,NitrogenAN,phosphorusMN,magnesiumAN,sulfurMN,siliconMN,HighGrowth
140280,AuxinLow,gibberellinNA,cytokininAN,ethyleneNA,abscisicAcidNA,NitrogenLow,phosphorusMN,magnesiumAN,sulfurMN,siliconAN,MediumGrowth
111691,AuxinNA,gibberellinNA,cytokininNA,ethyleneLow,abscisicAcidNA,NitrogenAN,phosphorusMN,magnesiumLow,sulfurMN,siliconLow,LowGrowth
186499,AuxinAN,gibberellinNA,cytokininAN,ethyleneAN,abscisicAcidNA,NitrogenLow,phosphorusAN,magnesiumAN,sulfurAN,siliconMN,HighGrowth
176065,AuxinNA,gibberellinNA,cytokininLow,ethyleneNA,abscisicAcidAN,NitrogenLow,phosphorusAN,magnesiumAN,sulfurAN,siliconLow,LowGrowth
139362,AuxinAN,gibberellinAN,cytokininNA,ethyleneAN,abscisicAcidLow,NitrogenLow,phosphorusAN,magnesiumMN,sulfurMN,siliconLow,HighGrowth
158914,AuxinAN,gibberellinLow,cytokininAN,ethyleneLow,abscisicAcidLow,NitrogenMN,phosphorusLow,magnesiumAN,sulfurMN,siliconLow,HighGrowth
115711,AuxinNA,gibberellinLow,cytokininAN,ethyleneAN,abscisicAcidLow,NitrogenLow,phosphorusLow,magnesiumLow,sulfurLow,siliconLow,LowGrowth
138615,AuxinAN,gibberellinAN,cytokininNA,ethyleneLow,abscisicAcidLow,NitrogenAN,phosphorusAN,magnesiumMN,sulfurLow,siliconMN,HighGrowth
147152,AuxinLow,gibberellinLow,cytokininNA,ethyleneAN,abscisicAcidAN,NitrogenAN,phosphorusLow,magnesiumLow,sulfurMN,siliconLow,MediumGrowth
195733,AuxinAN,gibberellinLow,cytokininAN,ethyleneLow,abscisicAcidNA,NitrogenMN,phosphorusMN,magnesiumAN,sulfurMN,siliconLow,HighGrowth
137763,AuxinAN,gibberellinNA,cytokininNA,ethyleneNA,abscisicAcidLow,NitrogenMN,phosphorusLow,magnesiumMN,sulfurAN,siliconAN,MediumGrowth
193103,AuxinLow,gibberellinLow,cytokininAN,ethyleneAN,abscisicAcidNA,NitrogenLow,phosphorusLow,magnesiumAN,sulfurMN,siliconLow,MediumGrowth
125106,AuxinNA,gibberellinNA,cytokininNA,ethyleneAN,abscisicAcidLow,NitrogenLow,phosphorusMN,magnesiumAN,sulfurLow,siliconAN,LowGrowth
208707,AuxinLow,gibberellinLow,cytokininAN,ethyleneNA,abscisicAcidLow,NitrogenMN,phosphorusLow,magnesiumAN,sulfurLow,siliconAN,MediumGrowth
191888,AuxinNA,gibberellinAN,cytokininAN,ethyleneAN,abscisicAcidLow,NitrogenMN,phosphorusMN,magnesiumAN,sulfurMN,siliconLow,HighGrowth
210084,AuxinLow,gibberellinAN,cytokininNA,ethyleneLow,abscisicAcidAN,NitrogenMN,phosphorusLow,magnesiumLow,sulfurMN,siliconAN,HighGrowth
187909,AuxinNA,gibberellinLow,cytokininNA,ethyleneLow,abscisicAcidAN,NitrogenLow,phosphorusLow,magnesiumLow,sulfurLow,siliconLow,LowGrowth
159228,AuxinLow,gibberellinLow,cytokininAN,ethyleneNA,abscisicAcidNA,NitrogenMN,phosphorusLow,magnesiumMN,sulfurMN,siliconAN,HighGrowth
127213,AuxinAN,gibberellinAN,cytokininAN,ethyleneAN,abscisicAcidLow,NitrogenAN,phosphorusMN,magnesiumLow,sulfurLow,siliconLow,HighGrowth
173197,AuxinAN,gibberellinLow,cytokininLow,ethyleneNA,abscisicAcidLow,NitrogenAN,phosphorusLow,magnesiumLow,sulfurAN,siliconMN,MediumGrowth
138916,AuxinNA,gibberellinAN,cytokininAN,ethyleneNA,abscisicAcidAN,NitrogenLow,phosphorusMN,magnesiumMN,sulfurLow,siliconMN,HighGrowth
209344,AuxinNA,gibberellinLow,cytokininLow,ethyleneAN,abscisicAcidAN,NitrogenMN,phosphorusLow,magnesiumLow,sulfurLow,siliconAN,MediumGrowth
163883,AuxinAN,gibberellinLow,cytokininLow,ethyleneAN,abscisicAcidLow,NitrogenLow,phosphorusLow,magnesiumAN,sulfurAN,siliconMN,HighGrowth
127594,AuxinAN,gibberellinNA,cytokininLow,ethyleneLow,abscisicAcidNA,NitrogenAN,phosphorusLow,magnesiumLow,sulfurAN,siliconAN,LowGrowth
129707,AuxinNA,gibberellinNA,cytokininNA,ethyleneAN,abscisicAcidNA,NitrogenAN,phosphorusMN,magnesiumLow,sulfurMN,siliconAN,LowGrowth
165989,AuxinLow,gibberellinAN,cytokininLow,ethyleneAN,abscisicAcidAN,NitrogenAN,phosphorusLow,magnesiumAN,sulfurAN,siliconAN,HighGrowth
212973,AuxinLow,gibberellinNA,cytokininAN,ethyleneAN,abscisicAcidNA,NitrogenMN,phosphorusLow,magnesiumLow,sulfurLow,siliconMN,MediumGrowth
144194,AuxinLow,gibberellinAN,cytokininLow,ethyleneLow,abscisicAcidNA,NitrogenAN,phosphorusMN,magnesiumLow,sulfurAN,siliconAN,MediumGrowth
180665,AuxinNA,gibberellinAN,cytokininAN,ethyleneNA,abscisicAcidAN,NitrogenAN,phosphorusLow,magnesiumLow,sulfurLow,siliconMN,MediumGrowth
135208,AuxinAN,gibberellinAN,cytokininAN,ethyleneLow,abscisicAcidAN,NitrogenLow,phosphorusLow,magnesiumAN,sulfurMN,siliconLow,HighGrowth
159796,AuxinNA,gibberellinAN,cytokininLow,ethyleneNA,abscisicAcidLow,NitrogenLow,phosphorusLow,magnesiumAN,sulfurMN,siliconMN,MediumGrowth
154077,AuxinNA,gibberellinLow,cytokininAN,ethyleneAN,abscisicAcidLow,NitrogenLow,phosphorusMN,magnesiumAN,sulfurLow,siliconLow,MediumGrowth
144095,AuxinLow,gibberellinAN,cytokininAN,ethyleneAN,abscisicAcidAN,NitrogenMN,phosphorusAN,magnesiumMN,sulfurLow,siliconLow,HighGrowth
205558,AuxinAN,gibberellinLow,cytokininAN,ethyleneAN,abscisicAcidLow,NitrogenMN,phosphorusMN,magnesiumLow,sulfurAN,siliconLow,HighGrowth
147199,AuxinAN,gibberellinAN,cytokininLow,ethyleneAN,abscisicAcidLow,NitrogenLow,phosphorusLow,magnesiumMN,sulfurAN,siliconMN,HighGrowth
210703,AuxinNA,gibberellinAN,cytokininAN,ethyleneNA,abscisicAcidNA,NitrogenLow,phosphorusLow,magnesiumAN,sulfurAN,siliconMN,LowGrowth
139392,AuxinNA,gibberellinAN,cytokininAN,ethyleneAN,abscisicAcidAN,NitrogenMN,phosphorusMN,magnesiumLow,sulfurMN,siliconMN,HighGrowth
114680,AuxinAN,gibberellinAN,cytokininNA,ethyleneLow,abscisicAcidAN,NitrogenMN,phosphorusAN,magnesiumMN,sulfurMN,siliconMN,HighGrowth
135920,AuxinLow,gibberellinLow,cytokininAN,ethyleneNA,abscisicAcidNA,NitrogenAN,phosphorusMN,magnesiumAN,sulfurAN,siliconAN,MediumGrowth
191674,AuxinNA,gibberellinNA,cytokininAN,ethyleneLow,abscisicAcidLow,NitrogenAN,phosphorusMN,magnesiumAN,sulfurAN,siliconAN,MediumGrowth
195749,AuxinLow,gibberellinNA,cytokininLow,ethyleneLow,abscisicAcidNA,NitrogenLow,phosphorusMN,magnesiumMN,sulfurAN,siliconAN,MediumGrowth
171505,AuxinNA,gibberellinLow,cytokininAN,ethyleneLow,abscisicAcidNA,NitrogenLow,phosphorusAN,magnesiumMN,sulfurMN,siliconLow,MediumGrowth
214699,AuxinLow,gibberellinLow,cytokininAN,ethyleneAN,abscisicAcidAN,NitrogenMN,phosphorusMN,magnesiumAN,sulfurAN,siliconLow,HighGrowth
154980,AuxinAN,gibberellinNA,cytokininLow,ethyleneLow,abscisicAcidNA,NitrogenAN,phosphorusMN,magnesiumMN,sulfurAN,siliconMN,HighGrowth
147627,AuxinAN,gibberellinNA,cytokininLow,ethyleneAN,abscisicAcidLow,NitrogenAN,phosphorusMN,magnesiumMN,sulfurAN,siliconAN,HighGrowth
130832,AuxinNA,gibberellinAN,cytokininNA,ethyleneAN,abscisicAcidNA,NitrogenMN,phosphorusAN,magnesiumAN,sulfurAN,siliconMN,HighGrowth
155222,AuxinNA,gibberellinNA,cytokininAN,ethyleneAN,abscisicAcidAN,NitrogenLow,phosphorusLow,magnesiumLow,sulfurLow,siliconMN,LowGrowth
163173,AuxinAN,gibberellinAN,cytokininLow,ethyleneLow,abscisicAcidAN,NitrogenAN,phosphorusAN,magnesiumMN,sulfurAN,siliconMN,HighGrowth
186763,AuxinAN,gibberellinLow,cytokininLow,ethyleneLow,abscisicAcidLow,NitrogenMN,phosphorusAN,magnesiumLow,sulfurAN,siliconMN,HighGrowth
195836,AuxinLow,gibberellinAN,cytokininLow,ethyleneNA,abscisicAcidAN,NitrogenAN,phosphorusAN,magnesiumLow,sulfurLow,siliconLow,LowGrowth
149836,AuxinAN,gibberellinAN,cytokininAN,ethyleneLow,abscisicAcidLow,NitrogenAN,phosphorusAN,magnesiumLow,sulfurMN,siliconAN,HighGrowth
121089,AuxinAN,gibberellinLow,cytokininNA,ethyleneAN,abscisicAcidLow,NitrogenLow,phosphorusLow,magnesiumLow,sulfurMN,siliconLow,LowGrowth
169757,AuxinLow,gibberellinAN,cytokininLow,ethyleneNA,abscisicAcidAN,NitrogenMN,phosphorusAN,magnesiumAN,sulfurLow,siliconAN,HighGrowth
120936,AuxinAN,gibberellinLow,cytokininNA,ethyleneLow,abscisicAcidAN,NitrogenLow,phosphorusMN,magnesiumAN,sulfurLow,siliconLow,MediumGrowth
161415,AuxinAN,gibberellinAN,cytokininLow,ethyleneNA,abscisicAcidAN,NitrogenAN,phosphorusLow,magnesiumAN,sulfurLow,siliconLow,MediumGrowth
117019,AuxinAN,gibberellinAN,cytokininLow,ethyleneAN,abscisicAcidAN,NitrogenAN,phosphorusLow,magnesiumAN,sulfurMN,siliconAN,HighGrowth
188627,AuxinNA,gibberellinNA,cytokininLow,ethyleneNA,abscisicAcidNA,NitrogenLow,phosphorusAN,magnesiumMN,sulfurAN,siliconMN,LowGrowth
190581,AuxinLow,gibberellinLow,cytokininNA,ethyleneNA,abscisicAcidLow,NitrogenAN,phosphorusMN,magnesiumMN,sulfurAN,siliconLow,MediumGrowth
116595,AuxinNA,gibberellinLow,cytokininNA,ethyleneAN,abscisicAcidAN,NitrogenAN,phosphorusAN,magnesiumLow,sulfurMN,siliconLow,MediumGrowth
187374,AuxinAN,gibberellinAN,cytokininAN,ethyleneAN,abscisicAcidNA,NitrogenLow,phosphorusMN,magnesiumMN,sulfurLow,siliconLow,HighGrowth
118758,AuxinLow,gibberellinLow,cytokininNA,ethyleneLow,abscisicAcidLow,NitrogenMN,phosphorusAN,magnesiumAN,sulfurAN,siliconMN,HighGrowth
